Run ID,Month_0_Ratio,Month_1_Ratio,Month_2_Ratio,Month_3_Ratio,Month_4_Ratio,Month_5_Ratio,Month_6_Ratio,Month_7_Ratio,Month_8_Ratio,Month_9_Ratio,Month_10_Ratio,Month_11_Ratio,Month_12_Ratio,Month_13_Ratio,Month_14_Ratio,Month_15_Ratio,Month_16_Ratio,Month_17_Ratio,Month_18_Ratio,Month_19_Ratio,Month_20_Ratio,Month_21_Ratio,Month_22_Ratio,Month_23_Ratio,Month_24_Ratio,Month_25_Ratio,Month_26_Ratio,Month_27_Ratio,Month_28_Ratio,Month_29_Ratio,Month_30_Ratio,Month_31_Ratio,Month_32_Ratio,Month_33_Ratio,Month_34_Ratio,Month_35_Ratio
0,15.681239143022582,14.093659942363113,14.65896589658966,14.238753099539498,13.924099335431968,13.537641801306291,13.37846049966239,12.99866844207723,12.418686224489797,12.84673449294388,11.92375995101041,11.986523736600306,11.958333333333334,11.791293609138624,11.237969483568076,11.047454702329594,10.93098510882016,11.02240735420856,10.376803551609322,10.778189066059225,10.310762455271126,10.4256737982773,10.241900054914883,10.152684111141085,10.012965964343598,9.840244550770867,9.915620827770361,9.626304801670146,9.03551912568306,9.310607987789366,9.169551934826885,8.972339895340145,8.71017645636935,8.673296143584768,8.668760570186036,8.440637639781109
1,14.661313449956983,12.818665091553456,13.890064667842445,13.507648725212464,13.734067207415992,13.426934097421203,12.882799782962561,12.733441910966341,12.249211356466876,12.885164835164835,11.881072874493928,12.080735820132857,12.186387434554973,12.392094017094017,11.363013698630137,11.602463054187192,11.053926206244087,11.333817829457365,10.870265151515152,11.275193798449612,11.061340941512125,11.164739884393063,10.706654170571696,10.839851024208565,10.905954631379963,10.641907381934892,10.833487511563368,10.686526122823098,10.061368653421633,10.280678268630076,10.35546522131888,10.17979528259902,9.819468267581476,9.579722339082878,9.597058823529412,9.551330798479087
2,12.855652664223287,11.88888888888889,12.435353963543875,12.308909242298085,12.228092243186582,12.031613976705492,11.75612695861792,11.524057738572575,11.167250097238428,11.690650406504066,10.926459438968916,11.012518968133536,11.151149201402415,11.044618395303328,10.550703182827535,10.51064610866373,10.432600732600733,10.41058394160584,9.978943611705924,10.33978102189781,10.06073597713469,10.358373030414072,9.926454837558015,9.9195079086116,9.881602268699043,9.929607357622922,9.85405027932961,9.89918928445541,9.269942780208684,9.618603042876902,9.427391603578803,9.208193418401612,9.050032916392363,8.951803278688525,8.851132686084142,8.920818211811284
3,12.664296998420221,11.17280163599182,11.945850202429149,11.814759782070333,11.921450151057401,11.641331346249379,11.115330520393812,11.091899573661772,10.62215132178669,11.20057443752992,10.407836153161176,10.531431119037004,10.659623334864492,10.678818643285648,9.974215728405673,10.333040035195776,9.765075376884422,10.003852739726028,9.486542443064183,9.92823579666809,9.631644518272426,9.73136842105263,9.589248215035699,9.560394412489728,9.592346089850249,9.483422022103971,9.607157548334019,9.492641046606705,8.864717348927876,9.07391304347826,9.027711797307997,8.931372549019608,8.672630376855729,8.505058074185088,8.439658373561084,8.47182569496619
4,13.606810150979761,12.91661874640598,13.788985507246377,13.623354321694332,13.295735129068463,13.345433919455473,12.985213581599124,12.977703455964326,12.555735930735931,12.914539400665927,12.328738069989395,12.816947311243888,12.329424307036247,12.689502762430939,12.078686816050027,12.328933474128828,12.23421052631579,11.967492260061919,11.789855072463768,12.141207349081364,11.767109295199182,12.183500793231095,11.601025641025641,11.6113074204947,11.639243740419008,11.217156862745098,11.654737903225806,11.529352734570999,11.323308270676693,11.688045151359672,11.198507462686567,11.26010983524713,11.371905002526528,10.799227799227799,10.4906191369606,10.893418467583498
5,12.550946798917945,11.996607869742197,12.462135922330097,12.606396866840731,12.329065300896287,12.333333333333334,11.952114427860696,11.819610307982401,11.501230012300123,12.074074074074074,11.861788617886178,12.04445835942392,11.549079754601227,12.027546444586804,11.344639612356147,11.505117399157134,11.429607250755287,11.310551558752998,11.243357487922705,11.60061919504644,11.124040165386887,11.528756957328385,10.927804295942721,10.871944121071012,11.247566909975669,10.722926267281107,11.15180153573538,11.46050214329455,10.929039952295767,11.34247410115783,10.93724097098875,10.946587537091988,11.345274861025324,10.581018518518519,10.132630410654828,10.509269988412514
6,9.177290836653386,8.641218975808986,9.0059245400686,8.962468982630273,8.777095486644152,8.854166666666666,8.734718826405867,8.41809437932071,8.156359393232206,8.556335877862596,8.082164328657315,8.330880188401531,8.28871158392435,8.223312518584597,7.938979184488167,8.048878665899942,7.9229232086782755,7.895035460992908,7.531526548672566,7.83886524822695,7.613144758735441,7.754301833568406,7.464187327823692,7.6105117565698475,7.544416597048176,7.364374661613427,7.477893013100437,7.5345545378850955,7.14633493846977,7.466537610619469,7.292100932528799,7.098049692759818,7.023771790808241,7.020451527224435,6.840268803308349,7.036578805809575
7,39.63290278721958,35.61192810457516,36.19008935824533,35.79904306220096,35.2398406374502,32.99698795180723,32.16569343065694,31.050750536097212,29.103148024112524,30.66924700914849,27.97799352750809,27.57433290978399,27.58880308880309,27.191298784388994,25.433849821215734,25.556156156156156,24.712032710280372,23.96839729119639,23.021558872305143,23.454545454545453,23.235326998323085,23.513528748590755,22.075612353567625,21.879265091863516,22.042291220556745,20.78037620742247,21.182756840474962,20.449,19.31672256827983,20.11100049776008,19.484596577017115,18.653900046707147,18.141552511415526,17.862691960252935,17.78151637505608,17.674157303370787
8,9.856571187868576,9.104378283712785,9.581208522528815,9.309716599190283,9.212254570074474,9.174252717391305,9.001317523056654,8.75056984695539,8.551163532036979,8.828083989501312,8.24104134762634,8.370977722772277,8.501914486279516,8.348499210110585,8.042032053220442,8.072897761645493,7.882701421800948,8.199630314232902,7.581348053457292,7.869345238095238,7.757378984651712,7.860548271752086,7.686443191931177,7.611271676300578,7.583041958041958,7.620589093030038,7.530723063732495,7.462809917355372,7.029250956806998,7.348922902494331,7.131138392857143,6.991785323110625,6.797136038186157,6.7977558108469145,6.8721399730821,6.7483302164039545
9,40.47141738449491,37.471626733921816,38.787841191066995,38.87128712871287,35.765517241379314,34.2760532150776,32.18865979381443,33.22835497835498,30.08235294117647,32.07083333333333,28.675397567820394,29.27358490566038,29.648832684824903,29.075670498084293,26.420277296360485,26.877533039647577,26.480968858131487,26.897797356828193,24.835264900662253,25.862244897959183,24.895953757225435,25.215833333333332,23.598418972332016,23.6049766718507,23.865873015873017,22.384328358208954,23.68235294117647,22.473880597014926,21.235632183908045,21.932890855457227,21.210943124550035,20.908380681818183,20.493434692467172,19.51460823373174,19.097024579560156,19.668909825033648
